name,address,comment
网易严选,yanxuan@service.netease.com,无法退订
百度页游,game-invite@baidu.com,无法退订
京东推广,customer_service@jd.com,
不知道啥之前屏蔽的,marketing.china@globalblue.com,
百度推广员,xurui01@sh.baidu.com,百度营销一律屏蔽
淘宝推广,bofuo.org, 
淘宝推广,comao.org, 
淘宝推广,husai.org, 
淘宝推广,imfans.org, 
淘宝推广,itaohui.org, 
淘宝推广,jalou.org, 
淘宝推广,mkren.org, 
淘宝推广,saipo.org, 
淘宝推广,topni.org, 
淘宝推广,towow.org, 
淘宝推广,woyar.org, 
淘宝推广,xeop.org, 
淘宝推广,yoxin.org, 
淘宝推广,zram.org, 
淘宝推广,nuowa.org,
淘宝推广,thexo.org,
贷款垃圾信息,user@phone.shoudai.com,
ad,anonymitynewsletter.com,无法退订
ad,getresponse.com,无法退订
ad,879304080@qq.com,个人V信推送，没退订
ad,435067011@qq.com,同上，英语版本，貌似诈骗
